"Intensity"	"Intensity QC02_210326"	"Intensity QC02_210331"	"Intensity QC02_210402"	"Intensity QC02_210406"	"Intensity QC02_210410"	"Intensity QC02_210411"	"LFQ intensity QC02_210326"	"LFQ intensity QC02_210331"	"LFQ intensity QC02_210402"	"LFQ intensity QC02_210406"	"LFQ intensity QC02_210410"	"LFQ intensity QC02_210411"	"Identification type QC02_210326"	"Identification type QC02_210331"	"Identification type QC02_210402"	"Identification type QC02_210406"	"Identification type QC02_210410"	"Identification type QC02_210411"	"Protein IDs"	"Peptides"	"Peptides QC02_210326"	"Peptides QC02_210331"	"Peptides QC02_210402"	"Peptides QC02_210406"	"Peptides QC02_210410"	"Peptides QC02_210411"	"Reverse"	"Only identified by site"	"Potential contaminant"	"Sequence coverage [%]"	"Sequence length"
8153200	999340	1313800	994150	2711400	0	2134400	0	0	0	0	0	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	NA	"By MS/MS"	"A6NLU0;F8VTS6"	1	1	1	1	1	0	1	NA	"+"	NA	3.5	287
216240000	29633000	38711000	21101000	39999000	33802000	52996000	7097400	7372900	7351400	6908100	6873000	7136200	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O60936"	8	7	7	7	5	5	7	NA	NA	NA	75	208
951570000	96539000	108710000	89135000	193420000	233570000	230180000	17104000	16697000	17107000	19496000	19275000	17664000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P42285"	29	24	23	19	21	24	25	NA	NA	NA	32.2	1042
166450000	17796000	19705000	22852000	38666000	25706000	41724000	7098900	6389300	8273500	7489500	5736200	8035100	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O15118"	8	5	6	7	5	7	5	NA	NA	NA	8.8	1278
80511000	4748100	10979000	5115800	19625000	19596000	20447000	0	5391100	0	7352800	6287700	6505100	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q8N4T8"	3	1	3	1	2	3	3	NA	NA	NA	21.5	237
4182700	887880	0	0	1762700	0	1532100	0	0	0	0	0	0	"By matching"	NA	NA	"By MS/MS"	NA	"By MS/MS"	"Q9H867"	1	1	0	0	1	0	1	NA	NA	NA	5.7	229
450600000	70974000	56309000	41960000	99409000	89994000	91956000	30348000	26177000	29449000	29967000	41807000	26959000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P57088"	7	4	4	4	5	4	6	NA	NA	NA	32.4	247
60707000	4903000	7644300	4603000	16163000	12782000	14612000	2398500	3026900	3400100	3829200	3929400	3599100	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9UKM7"	5	4	4	3	5	4	4	NA	NA	NA	11.3	699
313820000	30417000	52921000	20707000	90379000	41272000	78124000	19473000	19006000	15403000	16724000	14155000	18566000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9NWV4"	5	5	5	4	5	4	5	NA	NA	NA	40	160
1012100000	130610000	153530000	103530000	239280000	189860000	195340000	30625000	28567000	29139000	28604000	34378000	28736000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q8WXX5"	11	10	10	10	9	9	9	NA	NA	NA	50	260
2320600000	250840000	270730000	212840000	575930000	525160000	485100000	50069000	47306000	49181000	57154000	49146000	55949000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q00796"	18	15	15	14	15	17	14	NA	NA	NA	68.9	357
59688000	6618300	822150	7390900	14280000	15989000	14587000	3077200	0	3343300	4382600	6332100	3023700	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q2TAL8"	6	5	2	6	4	3	5	NA	NA	NA	14.6	776
4.5032e+10	5323600000	6172100000	4600300000	1.0157e+10	8227700000	1.0551e+10	588160000	585680000	624790000	564590000	550930000	616080000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P05783;CON__H-INV:HIT000015463;Q92764;CON__Q92764;CON__Q497I4"	28	28	28	25	27	27	27	NA	NA	NA	67.7	430
363460000	45285000	37177000	40926000	115620000	20483000	103970000	34400000	33635000	36857000	42120000	28532000	38307000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9BSJ2"	12	8	4	4	9	8	10	NA	NA	NA	19.3	902
39983000	4819900	4771700	1239200	11819000	7666600	9666300	0	0	0	0	0	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O43772"	4	2	2	2	1	3	1	NA	NA	NA	14	301
14918000	1121300	1199000	2445600	4730900	2271200	3150000	0	0	0	0	0	0	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q96GS4"	2	1	2	2	2	1	1	NA	NA	NA	8.1	357
269050000	30760000	33036000	30841000	58757000	58494000	57160000	15364000	14369000	17137000	13663000	27969000	15501000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P62820"	9	9	8	8	8	8	8	NA	NA	NA	48.3	205
128110000	14319000	21116000	7669000	22639000	34190000	28180000	5098800	6379800	7149800	5277800	4991400	5561700	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9UJA5"	10	7	7	3	7	7	6	NA	NA	NA	29	497
16127000	2377100	2797400	2488700	4057300	0	4406200	0	0	0	0	0	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	NA	"By MS/MS"	"Q7Z4G1"	1	1	1	1	1	0	1	NA	NA	NA	15.3	85
100840000	9068900	22201000	8473700	10177000	33726000	17196000	4797600	6125700	8086000	5457200	8882800	5756200	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P31483"	8	5	7	5	6	4	7	NA	NA	NA	32.1	386
17370000	2568800	924680	0	6612700	3935000	3328700	1291600	0	0	1714700	0	1529400	"By MS/MS"	"By MS/MS"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9UJX4"	4	3	1	0	3	2	2	NA	NA	NA	7.8	755
252830000	32413000	33100000	28306000	55934000	44907000	58167000	11065000	10772000	11108000	9396200	9988500	10342000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q86VM9"	7	7	6	6	6	6	6	NA	NA	NA	12.1	953
64157000	7986400	10247000	6824900	12150000	13540000	13408000	3849300	4443500	3780100	3126400	3068700	3465200	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P53365"	5	4	3	3	3	5	4	NA	NA	NA	19.9	341
8386600000	844050000	1312200000	758090000	1905700000	1.778e+09	1788600000	162990000	166910000	154090000	168150000	156880000	166580000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P13010"	25	23	24	23	24	23	24	NA	NA	NA	46.7	732
30118000	3793500	4264600	4245400	7284800	4728700	5801200	0	0	0	0	0	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P84157"	1	1	1	1	1	1	1	NA	NA	NA	8.8	204
71094000	8489200	12390000	10713000	13609000	22823000	3069100	5189600	6300800	6040800	5184300	8306400	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O60907"	12	9	8	8	7	8	7	NA	NA	NA	31.4	577
78998000	8683100	6792900	5030300	18515000	13719000	26258000	4981100	4388100	4462200	4519200	3994300	4566500	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O75175"	6	4	3	3	4	3	6	NA	NA	NA	15.3	753
475830000	47044000	52604000	36379000	123900000	110860000	105040000	13257000	13644000	13185000	16140000	23882000	15492000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"A1L0T0"	12	10	8	8	11	8	10	NA	NA	NA	30.5	632
1.492e+09	178100000	163020000	154180000	369810000	320660000	306260000	61429000	58864000	60946000	68404000	78359000	64425000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P49720"	8	8	7	7	8	7	8	NA	NA	NA	46.8	205
7384600000	811900000	935230000	613340000	1.884e+09	1434900000	1705200000	218140000	208610000	213140000	244650000	196560000	228950000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P62249"	10	10	10	10	10	10	10	NA	NA	NA	53.4	146
45243000	4945100	6744700	3839300	7203900	8951700	13558000	4316700	2532700	3446100	3977900	2337500	3185200	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q7Z4W1"	5	2	3	2	3	3	5	NA	NA	NA	24.6	244
3213400000	367910000	363760000	337380000	769440000	665340000	709530000	50113000	47919000	51448000	52034000	51674000	52919000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P33991;Q9UJA3"	36	33	29	29	34	30	33	NA	NA	NA	52.6	863
31203000	1760900	4759400	3774000	7721100	6479400	6708100	0	2326200	2759200	2612600	0	2376500	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O95365"	3	1	3	2	2	1	2	NA	NA	NA	11.5	584
27451000	3585300	1900000	2085400	6217700	7508900	6154200	1793700	0	0	2288000	0	2437300	"By MS/MS"	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q8N884"	5	3	1	1	2	3	2	NA	NA	NA	12.1	522
9899400	1400000	1240200	1143400	3252000	0	2863700	0	0	0	0	0	0	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	NA	"By MS/MS"	"O95263"	1	1	1	1	1	0	1	NA	NA	NA	2.5	885
61197000	7849300	9798800	6121900	16134000	8664300	12629000	0	0	0	0	0	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By matching"	"O43617"	3	1	2	1	1	2	1	NA	NA	NA	17.8	180
618770000	70359000	66304000	59222000	155760000	122900000	144210000	13626000	12558000	13385000	13738000	11234000	13617000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9P2R7"	14	12	10	11	12	13	12	NA	NA	NA	33	463
632050000	80342000	94293000	68747000	149540000	107530000	131600000	22720000	23845000	24720000	22174000	18834000	20967000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q8NFJ5"	5	5	5	5	5	4	5	NA	NA	NA	21	357
92548000	3039200	8992500	9714900	23479000	20621000	26702000	0	0	5074200	4072600	5271300	5687200	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q13885"	19	17	18	17	18	18	17	NA	NA	NA	53.5	445
660510000	98448000	98822000	73140000	152740000	96773000	140590000	18320000	16371000	17806000	16875000	15676000	16785000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9UNZ2"	13	13	12	12	12	10	12	NA	NA	NA	47.8	370
17715000	1635100	1145700	2223800	5773600	1524300	5413000	0	0	2141900	0	0	2238100	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P36954"	4	1	1	2	2	1	2	NA	NA	NA	49.6	125
1785300000	176510000	187840000	166600000	407710000	448240000	398420000	25749000	23869000	27352000	26421000	33949000	27151000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q96P70"	27	22	22	23	23	22	26	NA	NA	NA	37.8	1041
380910000	53823000	52736000	31779000	96723000	51061000	94791000	9052600	8690800	8567300	8637600	8538400	8358200	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q02880"	33	26	24	24	27	22	29	NA	NA	NA	23.3	1626
207820000	22321000	27711000	19831000	44281000	51841000	41838000	10230000	8741900	9452400	9984300	15628000	10891000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O75940"	4	4	4	4	3	3	3	NA	NA	NA	33.2	238
1418100000	145240000	196190000	138010000	340490000	281760000	316400000	19310000	19793000	21672000	23597000	20702000	22406000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P61221"	23	18	18	19	20	18	20	NA	NA	NA	47.4	599
1833100000	200360000	263350000	198640000	446100000	335120000	389520000	58265000	62649000	63460000	63342000	53669000	61457000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P04899"	14	13	13	13	11	12	12	NA	NA	NA	54.6	355
29439000	4663500	3766600	2242300	10043000	2392800	6331100	2051100	0	1865600	2303100	0	2078300	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q96BJ3"	4	3	2	2	3	1	3	NA	NA	NA	19.6	306
94633000	9709900	8832200	4221800	19582000	20406000	31881000	3865100	4493000	4067800	4463700	3612300	4707200	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q1ED39"	7	4	3	3	6	6	5	NA	NA	NA	20.5	458
2683900000	356830000	254010000	261910000	548140000	719860000	543130000	112410000	123250000	98811000	136310000	111260000	144610000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P49773"	7	6	6	6	7	7	7	NA	NA	NA	77.8	126
1996800000	209820000	313080000	184560000	507050000	343210000	439080000	41005000	48497000	44327000	50574000	40140000	46962000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9NTK5"	21	18	18	17	20	17	19	NA	NA	NA	61.6	396
9632700000	1070400000	1160300000	991180000	2262700000	2.006e+09	2142100000	90225000	90413000	102020000	92007000	87326000	93550000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q12906"	36	33	32	31	34	33	35	NA	NA	NA	63.8	894
112620000	13250000	14405000	11328000	23136000	23577000	26919000	4821900	4674900	5784000	5083700	8353500	4991100	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q6NYC1"	5	5	5	4	4	3	5	NA	NA	NA	20.8	403
48643000	5637400	0	6949100	14791000	9173300	12093000	0	0	0	0	0	0	"By MS/MS"	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O60361"	9	9	7	9	9	8	9	NA	"+"	NA	66.4	137
52896000	2216000	6268700	3618000	18483000	7336800	14973000	3059800	3319400	3666000	3973500	3658700	3640500	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q6P161"	4	2	2	2	4	2	4	NA	NA	NA	48.6	138
267350000	27358000	36307000	18445000	73397000	46927000	64914000	17883000	20080000	19179000	23679000	19021000	22110000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P67812"	4	4	4	4	4	3	4	NA	NA	NA	16.2	179
2192300000	252150000	313820000	210590000	522690000	391030000	502040000	79006000	87919000	88976000	89840000	88507000	89879000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q04837"	7	7	6	6	7	7	7	NA	NA	NA	55.4	148
72456000	9182800	10547000	7776600	16117000	15926000	12907000	3367300	2992400	4162500	3616600	3186300	3546100	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9UNW1"	6	5	6	3	4	4	5	NA	NA	NA	16.6	487
109210000	7963600	17490000	18398000	30299000	12699000	22360000	4436100	5100700	6305800	5552900	5687100	6627700	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9GZS1"	7	5	4	6	6	5	5	NA	NA	NA	20	419
8349800000	727980000	1229500000	734950000	2261100000	1725100000	1.671e+09	232120000	233580000	197510000	268190000	239850000	285720000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P32119"	13	10	12	9	11	12	10	NA	NA	NA	54	198
123870000	11078000	19465000	12393000	29078000	21169000	30684000	6628500	6332900	6449900	6046800	5060200	6846400	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P04114"	9	6	7	5	7	5	7	NA	NA	NA	2.1	4563
112570000	16173000	26515000	12493000	22325000	9238300	25825000	6310700	7648100	6286700	5502600	5039200	5771600	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q8IXM3"	6	5	5	4	3	3	5	NA	NA	NA	62.8	137
409260000	40500000	75923000	37961000	92438000	90381000	72056000	15328000	13572000	15871000	14647000	13463000	14427000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O00273"	11	6	9	6	7	7	6	NA	NA	NA	41.4	331
12624000	1801800	0	524180	5306300	0	4991800	1504500	0	0	2945500	0	2118000	"By matching"	NA	"By MS/MS"	"By MS/MS"	NA	"By MS/MS"	"Q9BRZ2"	3	2	0	2	2	0	2	NA	NA	NA	6.4	755
9682300	3352100	0	0	0	6330100	0	0	0	0	0	0	0	"By MS/MS"	NA	NA	NA	"By MS/MS"	NA	"Q9BWH6"	2	1	0	0	0	2	0	NA	NA	NA	3.2	1393
149850000	15678000	22442000	14796000	38830000	27825000	30279000	9358300	11098000	10040000	10574000	11927000	9210100	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q8WWI5"	5	5	5	5	5	3	5	NA	NA	NA	10.2	657
329580000	37315000	44289000	33287000	81665000	58973000	74054000	8430600	8299100	8777200	8587000	7760600	8547300	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P13674"	12	10	9	10	11	8	11	NA	NA	NA	29.4	534
2.64e+08	26806000	35460000	26117000	54801000	69381000	51439000	4439700	4882100	5369400	5255900	5829400	4990400	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q92797"	13	12	9	9	10	10	9	NA	NA	NA	13.6	1274
57068000	6208200	0	2679200	17148000	13966000	17067000	2694100	0	2796000	3356200	3258800	2872100	"By MS/MS"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q86VN1"	7	5	0	2	5	5	6	NA	NA	NA	22.8	386
7119700000	690220000	933070000	664010000	1925100000	1352900000	1554500000	382870000	372720000	414660000	500880000	415400000	439680000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P60866"	4	4	4	3	4	4	4	NA	NA	NA	26.1	119
2172700000	223190000	311170000	222470000	563110000	415930000	436870000	42092000	42092000	39529000	47732000	44156000	44265000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q8NBJ5"	21	18	19	19	18	18	19	NA	NA	NA	32.2	622
313490000	40663000	51187000	0	91763000	54878000	74997000	43652000	0	0	51464000	36822000	38598000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"A6NHQ2"	5	5	4	4	5	5	5	NA	NA	NA	15	334
350900000	43662000	42943000	41089000	93116000	56875000	73210000	4551500	4292200	5050700	5137300	3829600	5024800	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P30622"	27	18	18	19	18	17	16	NA	NA	NA	22.8	1438
168420000	16586000	23478000	12181000	44239000	33401000	38529000	5019700	5837900	5650000	5807900	5056400	5244400	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9Y2K7"	9	6	6	4	7	7	7	NA	NA	NA	10.8	1162
2170100000	248240000	251280000	209520000	515970000	451920000	493140000	38215000	35176000	39415000	43140000	52383000	42043000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P62191"	18	15	16	13	14	15	15	NA	NA	NA	55	440
34430000	3967900	2455300	4919200	7424600	5595800	10068000	2207000	0	3335400	2477900	0	2994200	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O14662"	3	3	3	3	2	1	3	NA	NA	NA	12	325
1237400	0	0	0	0	0	1237400	0	0	0	0	0	0	NA	NA	NA	NA	NA	"By MS/MS"	"Q9Y2X9"	1	0	0	0	0	0	1	NA	NA	NA	1.8	895
137650000	26940000	27691000	14690000	17198000	37801000	13329000	15879000	17174000	14429000	13146000	11091000	12273000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q96C01"	3	3	3	2	1	3	1	NA	NA	NA	25.4	138
33492000	2410100	1897500	3498800	18282000	2829400	4574300	0	0	0	0	0	0	"By MS/MS"	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q969Y2"	4	1	1	3	3	1	2	NA	NA	NA	12.6	492
459060000	45371000	75979000	45317000	99745000	94573000	98073000	18229000	18553000	18835000	17931000	17053000	18290000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9NWH9"	17	11	11	9	11	14	12	NA	NA	NA	21.5	1034
